,eps,n,alpha,beta,gamma,phi**2,psi**2
28629,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
24045,8.93,1.4242,0.1,0.05,39.15,0.0,0.444889
17276,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
50008,4.7113,1.4459,0.15,0.02,38.39,0.0,0.5625
3876,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
42485,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
16227,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
13711,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
30140,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
16695,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
26662,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
5799,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
14630,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
15413,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
33824,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
19762,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
43329,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
15121,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
31492,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
43517,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
26959,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
45502,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
44832,40.245,1.4318,0.58,0.78,69.07,0.0,0.0
41560,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
48371,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
8250,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
52838,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
39067,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
34738,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
37963,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
703,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
30466,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
38737,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
21522,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
16487,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
39236,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
51395,10.125,1.4448,0.1,0.11,45.86,0.0,0.25
3314,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
30224,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
43281,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
25124,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
24700,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
37650,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
13921,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
33916,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
37207,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
40873,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
4526,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
4719,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
14670,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
13720,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
26132,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
5126,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
30115,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
47537,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
34036,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
12550,20.524,1.385,0.37,0.48,33.57,0.0,0.0
48095,12.47,1.3878,0.31,0.6,28.73,0.0,0.0
8522,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
24252,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
4406,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
6665,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
13473,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
11556,20.524,1.385,0.37,0.48,33.57,0.0,0.0
31101,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
33891,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
34053,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
11101,20.524,1.385,0.37,0.48,33.57,0.0,0.0
14560,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
23863,8.93,1.4242,0.1,0.05,39.15,0.0,0.444889
21100,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
31374,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
49198,8.331,1.3599,0.0,0.38,33.36,0.0,0.0
