,eps,n,alpha,beta,gamma,phi**2,psi**2
5266,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
30149,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
14571,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
23494,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
27241,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
16622,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
36600,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
5845,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
27330,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
43462,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
2823,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
29443,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
12787,20.524,1.385,0.37,0.48,33.57,0.0,0.0
24897,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
24520,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
21004,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
2538,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
6194,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
36255,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
28343,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
42298,5.5205,1.3842,0.0,0.45,34.26,0.0,0.0
4901,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
10819,20.524,1.385,0.37,0.48,33.57,0.0,0.0
4538,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
27417,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
49311,8.331,1.3599,0.0,0.38,33.36,0.0,0.0
