,SP,SdP,SA,SB
36361,0.669,0.872,0.0,0.52
20359,0.656,0.603,0.0,0.542
16158,0.674,0.655,0.341,0.809
8231,0.633,0.783,0.4,0.658
15143,0.674,0.655,0.341,0.809
48366,0.616,0.0,0.0,0.056
48461,0.616,0.0,0.0,0.056
43984,0.759,0.977,0.031,0.613
28035,0.633,0.808,0.283,0.83
20711,0.656,0.603,0.0,0.542
14658,0.674,0.655,0.341,0.809
446,0.608,0.904,0.605,0.545
47705,0.674,0.535,0.0,0.525
9100,0.633,0.783,0.4,0.658
34818,0.687,0.587,0.319,0.86
39347,0.681,0.997,1.062,0.025
28373,0.633,0.808,0.283,0.83
49637,0.783,0.614,0.047,0.071
10489,0.658,0.748,0.367,0.782
42571,0.759,0.977,0.031,0.613
4587,0.633,0.783,0.4,0.658
17460,0.651,0.907,0.0,0.475
27702,0.633,0.808,0.283,0.83
27409,0.633,0.808,0.283,0.83
35466,0.687,0.587,0.319,0.86
25255,0.645,0.974,0.044,0.286
39660,0.681,0.997,1.062,0.025
3852,0.608,0.904,0.605,0.545
48744,0.616,0.0,0.0,0.056
34960,0.687,0.587,0.319,0.86
13792,0.674,0.655,0.341,0.809
15872,0.674,0.655,0.341,0.809
22128,0.656,0.603,0.0,0.542
27773,0.633,0.808,0.283,0.83
16564,0.651,0.907,0.0,0.475
25089,0.645,0.974,0.044,0.286
41361,0.681,0.997,1.062,0.025
47319,0.645,0.637,0.0,0.527
10524,0.658,0.748,0.367,0.782
10913,0.658,0.748,0.367,0.782
36221,0.714,0.634,0.0,0.591
47787,0.674,0.535,0.0,0.525
30607,0.633,0.808,0.283,0.83
8581,0.633,0.783,0.4,0.658
9909,0.633,0.783,0.4,0.658
6582,0.633,0.783,0.4,0.658
3953,0.608,0.904,0.605,0.545
9381,0.633,0.783,0.4,0.658
21030,0.656,0.603,0.0,0.542
27485,0.633,0.808,0.283,0.83
38607,0.737,0.312,0.0,0.444
20128,0.656,0.603,0.0,0.542
1118,0.608,0.904,0.605,0.545
34638,0.657,0.684,0.311,0.828
13445,0.674,0.655,0.341,0.809
11577,0.658,0.748,0.367,0.782
4994,0.633,0.783,0.4,0.658
17844,0.651,0.907,0.0,0.475
10741,0.658,0.748,0.367,0.782
24679,0.645,0.974,0.044,0.286
15395,0.674,0.655,0.341,0.809
43624,0.759,0.977,0.031,0.613
42682,0.759,0.977,0.031,0.613
3027,0.608,0.904,0.605,0.545
3884,0.608,0.904,0.605,0.545
16800,0.651,0.907,0.0,0.475
22246,0.656,0.603,0.0,0.542
12674,0.658,0.748,0.367,0.782
26907,0.645,0.974,0.044,0.286
30336,0.633,0.808,0.283,0.83
52297,0.698,0.552,0.315,0.879
13189,0.658,0.748,0.367,0.782
9327,0.633,0.783,0.4,0.658
38413,0.737,0.312,0.0,0.444
27835,0.633,0.808,0.283,0.83
30967,0.633,0.808,0.283,0.83
22530,0.656,0.603,0.0,0.542
11129,0.658,0.748,0.367,0.782
22535,0.656,0.603,0.0,0.542
35596,0.714,0.634,0.0,0.591
19259,0.651,0.907,0.0,0.475
53886,0.848,0.808,0.044,0.365
49208,0.648,0.707,0.0,0.477
4236,0.608,0.904,0.605,0.545
26697,0.645,0.974,0.044,0.286
32436,0.782,0.284,0.0,0.128
30922,0.633,0.808,0.283,0.83
4416,0.608,0.904,0.605,0.545
7357,0.633,0.783,0.4,0.658
12501,0.658,0.748,0.367,0.782
48714,0.616,0.0,0.0,0.056
8349,0.633,0.783,0.4,0.658
37851,0.737,0.312,0.0,0.444
45435,0.683,0.0,0.0,0.073
22540,0.656,0.603,0.0,0.542
27747,0.633,0.808,0.283,0.83
39901,0.681,0.997,1.062,0.025
43380,0.759,0.977,0.031,0.613
45108,0.777,0.91,0.717,0.534
9831,0.633,0.783,0.4,0.658
45511,0.683,0.0,0.0,0.073
17129,0.651,0.907,0.0,0.475
2128,0.608,0.904,0.605,0.545
14504,0.674,0.655,0.341,0.809
50108,0.706,0.499,0.302,0.912
20479,0.656,0.603,0.0,0.542
33942,0.657,0.684,0.311,0.828
12923,0.658,0.748,0.367,0.782
8016,0.633,0.783,0.4,0.658
16861,0.651,0.907,0.0,0.475
20446,0.656,0.603,0.0,0.542
